,RiderID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,PULocationID,PUBorough,PUZone,DOLocationID,DOBorough,DOZone,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,total_amount,congestion_surcharge
72,73,2024-06-25 23:37:35,2024-06-25 23:50:28,1.0,2.51,1.0,164,Manhattan,Midtown South,148,Manhattan,Lower East Side,1,14.9,1.0,0.5,3.98,0.0,23.88,2.5
73,74,2024-06-25 14:52:20,2024-06-25 15:00:09,2.0,0.92,1.0,68,Manhattan,East Chelsea,246,Manhattan,West Chelsea/Hudson Yards,1,8.6,0.0,0.5,2.0,0.0,14.6,2.5
74,75,2024-06-25 09:05:59,2024-06-25 09:12:07,1.0,1.18,1.0,236,Manhattan,Upper East Side North,141,Manhattan,Lenox Hill West,1,7.9,0.0,0.5,1.25,0.0,13.15,2.5
75,76,2024-06-25 07:24:38,2024-06-25 08:05:55,1.0,10.3,99.0,228,Brooklyn,Sunset Park West,229,Manhattan,Sutton Place/Turtle Bay North,1,36.5,0.0,0.5,0.0,6.94,44.94,0.0
76,77,2024-06-25 00:55:19,2024-06-25 01:24:12,1.0,9.27,1.0,132,Queens,JFK Airport,56,Queens,Corona,4,-44.3,-1.0,-0.5,0.0,-6.94,-55.49,0.0
77,78,2024-06-24 21:16:41,2024-06-24 21:29:34,1.0,2.89,1.0,79,Manhattan,East Village,229,Manhattan,Sutton Place/Turtle Bay North,1,15.6,1.0,0.5,2.0,0.0,22.6,2.5
78,79,2024-06-24 08:39:16,2024-06-24 08:54:02,1.0,2.23,1.0,140,Manhattan,Lenox Hill East,170,Manhattan,Murray Hill,1,15.6,0.0,0.5,2.94,0.0,22.54,2.5
79,80,2024-06-23 23:34:29,2024-06-23 23:34:40,4.0,0.02,5.0,63,Brooklyn,Cypress Hills,76,Brooklyn,East New York,1,50.0,0.0,0.0,1.0,0.0,52.0,0.0
80,81,2024-06-23 18:38:53,2024-06-23 18:52:23,1.0,2.36,1.0,246,Manhattan,West Chelsea/Hudson Yards,231,Manhattan,TriBeCa/Civic Center,1,15.6,0.0,0.5,3.92,0.0,23.52,2.5
81,82,2024-06-23 13:32:29,2024-06-23 13:37:46,1.0,0.8,1.0,237,Manhattan,Upper East Side South,237,Manhattan,Upper East Side South,2,6.5,2.5,0.5,0.0,0.0,10.5,2.5
